publication_title,publication_url,product_sku,product_price,product_category,product_city,product_zone,product_neighborhood,business_type,product_type,antiquity,stratum,isUsed,featured,longitude,latitude,privateArea,builtArea,rooms,bathrooms,garages,adminPrice
"Casa en Venta, CABECERA, Bucaramanga",/inmueble/venta-casa-bucaramanga-cabecera-del-llano-5-habitaciones-4-banos-2-garajes/16508-M4678473,16508-M4678473,2450000000,venta - Casa,Bucaramanga,Nororiente,CABECERA DEL LLANO,venta,Casa,Más de 20 años,6,true,"[""Ancho 14 m"",""Comedor auxiliar"",""Tipo de cortinas ninguna"",""Cuarto de servicio"",""Estudio o biblioteca"",""Parqueadero cubierto"",""Hall de alcobas"",""Zona de lavandería"",""Fondo 25 m"",""Instalación de gas natural"",""Closets 4"",""Número de líneas teléfonicas 0"",""Calentador gas"",""Tipo de casa tradicional"",""Tipo de cocina lineal"",""Tipo de comedor comedor independiente"",""Tipo de estufa gas"",""Tipo de parqueadero propio"",""Tipo acabado de piso baldosa"",""Tipo de piso en alcobas baldosa"",""Tipo de piso en comedor baldosa"",""Tipo de piso en estudio baldosa"",""Tipo de piso en sala baldosa"",""Vista exterior"",""Area lote 350 m²"",""Acceso para discapacitados"",""Número de Ascensores 0"",""Terraza/Balcón ninguno"",""Vigilancia 0"",""Zona de BBQ"",""Zona para niños"",""Cerca centros comerciales"",""Cerca colegios / universidades"",""Cerca parques"",""Cerca supermercados"",""Cerca transporte público"",""Sobre vía principal""]",-73.108215,7.114002,348,356,5,4,2,1
"Apartamento en Venta, El Llanito De Giron, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-el-llanito-de-giron-3-habitaciones-2-banos/9947-M4584797,9947-M4584797,150000000,venta - Apartamento,Bucaramanga,,EL LLANITO DE GIRON,venta,Apartamento,Entre 0 y 5 años,2,true,"[""Baño auxiliar"",""Cocina tipo americano"",""Cocina integral"",""Cuarto de servicio"",""Hall de alcobas"",""Zona de lavandería"",""Piso 3""]",0,0,60,60,3,2,0,null
"Apartamento en Venta, Mejoras Publicas, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-centro-2-habitaciones-2-banos-1-garajes/16805-M4843630,16805-M4843630,330000000,venta - Apartamento,Bucaramanga,Centro,CENTRO,venta,Apartamento,Entre 10 y 20 años,5,true,"[""Baño auxiliar"",""Aire acondicionado"",""Citófonos"",""Cocina integral"",""Vigilancia"",""Piso 14"",""Tipo acabado de piso cerámica"",""Ascensor"",""Baños de servicio"",""Circuito cerrado de TV"",""Parqueadero visitantes"",""Piscina"",""Vista panorámica"",""Conjunto cerrado"",""Terraza/Balcón balcón"",""Gimnasio"",""Zona para niños"",""Cerca colegios / universidades"",""Cerca parques"",""Cerca transporte público"",""Sobre vía principal"",""Zona comercial"",""Zona residencial""]",-73.12274,7.119349,60.22,74.16,2,2,1,400000
"Apartamento en Venta, Alarcon, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-alarcan-3-habitaciones-2-banos-1-garajes/10151-M4552725,10151-M4552725,236000000,venta - Apartamento,Bucaramanga,Noroccidente,ALARCA¿N,venta,Apartamento,Entre 5 y 10 años,4,true,"[""Calentador no tiene"",""Tipo de comedor comedor independiente"",""Ascensor"",""Terraza/Balcón balcón"",""Salón comunal"",""Zona para niños""]",-73.12501,7.12612,66.37,66.37,3,2,1,210000
"Apartamento en Venta, Modelo, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-modelo-3-habitaciones-2-banos-1-garajes/12693-M4662397,12693-M4662397,240000000,venta - Apartamento,Bucaramanga,Noroccidente,MODELO,venta,Apartamento,Entre 10 y 20 años,3,true,"[""Piso 4""]",-73.12938,7.133769,70,70,3,2,1,185000
"Apartamento en Venta, San Francisco, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-san-francisco-2-habitaciones-1-banos-1-garajes/12693-M4776864,12693-M4776864,180000000,venta - Apartamento,Bucaramanga,Noroccidente,SAN FRANCISCO,venta,Apartamento,Entre 0 y 5 años,3,true,"[""Piso 12""]",-73.12931,7.1323557,49,49,2,1,1,207000
"Casa en Venta, EL JARDÍN, Bucaramanga",/inmueble/venta-casa-bucaramanga-cabecera-del-llano-4-habitaciones-3-banos-1-garajes/12499-3727,12499-3727,430000000,venta - Casa,Bucaramanga,Nororiente,Cabecera Del Llano,venta,Casa,Más de 20 años,5,true,"[""Ancho 15 m"",""Tipo de cortinas ninguna"",""Cuarto de servicio"",""Estudio o biblioteca"",""Parqueadero cubierto"",""Fondo 10 m"",""Instalación de gas natural"",""Closets 3"",""Número de líneas teléfonicas 0"",""Calentador gas"",""Tipo de casa tradicional"",""Tipo de cocina abierta"",""Tipo de comedor comedor independiente"",""Deposito 0"",""Tipo de estufa mixta"",""Tipo de parqueadero propio"",""Tipo acabado de piso cerámica"",""Tipo de piso en alcobas cerámica"",""Tipo de piso en comedor cerámica"",""Tipo de piso en estudio cerámica"",""Tipo de piso en sala cerámica"",""Vista exterior"",""Area lote 157 m²"",""Area Terraza/Balcón 15 m²"",""Jardín"",""Número de Ascensores 0"",""Terraza/Balcón terraza"",""Vigilancia 24hrs"",""Zonas verdes"",""Cerca colegios / universidades"",""Cerca parques"",""Sobre vía secundaria""]",-73.104836,7.1209764,157,157,4,3,1,100000
"Apartamento en Venta, SOTOMAYOR, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-sotomayor-3-habitaciones-2-banos-2-garajes/883-M4527612,883-M4527612,798000000,venta - Apartamento,Bucaramanga,Centro,SOTOMAYOR,venta,Apartamento,Entre 5 y 10 años,6,true,"[""Citófonos"",""Parqueadero cubierto"",""Equipado / amoblado"",""Sauna / turco"",""Zona de lavandería"",""Closets 3"",""Piso 18"",""Tipo de parqueadero propio"",""Ascensor"",""Acceso para discapacitados"",""Circuito cerrado de TV"",""Piscina"",""Número de Ascensores 3"",""Vigilancia 24hrs"",""Cancha(s) de basket"",""Cancha(s) de fútbol"",""Gimnasio"",""Salón comunal"",""Zona de BBQ"",""Zona para niños"",""Cerca centros comerciales"",""Cerca colegios / universidades"",""Cerca parques"",""Cerca supermercados"",""Cerca transporte público""]",-73.11383,7.1197944,135,135,3,2,2,490000
"Apartamento en Venta, Casa 40, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-cabecera-del-llano-4-habitaciones-5-banos-2-garajes/16508-M4748218,16508-M4748218,1460000000,venta - Apartamento,Bucaramanga,Nororiente,CABECERA DEL LLANO,venta,Apartamento,Entre 0 y 5 años,6,true,"[""Apto para niños"",""Aire acondicionado"",""Citófonos"",""Tipo de cortinas ninguna"",""Cuarto de servicio"",""Estudio o biblioteca"",""Parqueadero cubierto"",""Hall de alcobas"",""Sauna / turco"",""Zona de lavandería"",""Instalación de gas natural"",""Closets 3"",""Piso 11"",""Calentador gas"",""Tipo de cocina isla"",""Tipo de comedor sala comedor"",""Tipo de estufa gas"",""Tipo de parqueadero propio"",""Tipo acabado de piso porcelanato"",""Tipo de piso en alcobas porcelanato"",""Tipo de piso en comedor madera"",""Tipo de piso en estudio porcelanato"",""Tipo de piso en sala porcelanato"",""Vista exterior"",""Area Terraza/Balcón 6 m²"",""Ascensor"",""Acceso para discapacitados"",""Circuito cerrado de TV"",""Piscina"",""Vista panorámica"",""Conjunto cerrado"",""Número de Ascensores 2"",""Terraza/Balcón balcón"",""Vigilancia 24hrs"",""Gimnasio"",""Salón comunal"",""Zona de BBQ"",""Zona para niños"",""Zonas verdes"",""Cerca centros comerciales"",""Cerca colegios / universidades"",""Cerca parques"",""Cerca supermercados"",""Cerca transporte público"",""Sobre vía secundaria""]",-73.106316,7.116942,190,196,4,5,2,700000
"Apartamento en Venta, Cabecera del llano, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-cabecera-del-llano-5-habitaciones-4-banos-2-garajes/883-M4887174,883-M4887174,550000000,venta - Apartamento,Bucaramanga,Nororiente,CABECERA DEL LLANO,venta,Apartamento,Más de 20 años,6,true,"[""Comedor auxiliar"",""Cuarto de servicio"",""Hall de alcobas"",""Jacuzzi"",""Zona de lavandería"",""Piso 8"",""Tipo de cocina paralela"",""Tipo de comedor sala comedor"",""Deposito 0"",""Tipo de parqueadero propio"",""Tipo acabado de piso cerámica"",""Vista exterior"",""Area Terraza/Balcón 4 m²"",""Ascensor"",""Circuito cerrado de TV"",""Vista panorámica"",""Número de Ascensores 1"",""Terraza/Balcón balcón"",""Vigilancia 0"",""Cerca centros comerciales"",""Cerca parques"",""Cerca supermercados"",""Cerca transporte público"",""Sobre vía secundaria""]",-73.10769,7.114157,140,140,5,4,2,580000
